"SMILES","CM"
"O=C(C1=CC=CC=C1)OOC(=O)C2=CC=CC=C2","cnmn"
"O=C(O[C@H](C)C2)C1=C2C(Cl)=CC(C(N[C@@H](CC3=CC=CC=C3)[C@@](O)=O)=O)=C1O","cymn"
"C12(=C(C=C(C=C1C=CC(=C2/N=N/C3=CC=CC=C3)O)S(=O)(=O)[O-])S(=O)(=O)[O-]).[Na+].[Na+]","cnmn"
"ClC1=CC=C2C(=C1)C(=NC(O)C(=O)N2)C3=CC=CC=C3","cymn"
"NC1=CC=C(C=C1)OC2=CC=C(C=C2)N","cymy"
"O=C3C[C@@H]4CC[C@@H]1[C@H](CC[C@]2(C)[C@@](C)(O)CC[C@@H]12)[C@@]4(C)C\C3=C\O","cymn"
"O=C1[C@](C(O)=C2[C@@]3([H])[C@@](O)(C)C4=C(C(O)=CC=C4)C2=O)(O)[C@]([C@H]3O)([H])[C@H](N(C)C)C(O)=C1C(N)=O.Cl","cnmn"
"S=P(OC1=CC=C(C=C1)[N+](=O)[O-])(OCC)OCC","cnmn"
"N12([C@@H]([C@@H](C1=O)NC(COC3=CC=CC=C3)=O)SC([C@@H]2C(=O)[O-])(C)C).[K+]","cnmn"
"ClC1=C(C(=C(C(=C1OC)Cl)Cl)Cl)Cl","cymy"
"ClC(C(Cl)Cl)(Cl)Cl","cymn"
"OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl","cymn"
"OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl","cymn"
"OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl","cymn"
"[O-][N+](OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O","cnmn"
"CC(=O)NC1=CC=C(C=C1)OCC","cymy"
"CN1N(C2=CC=CC=C2)C(=O)C=C1C","cymn"
"NC1=CC=C(/N=N/C2=CC=CC=C2)C(N)=N1.Cl","cymn"
"O=C(O[C@@H]5CC([C@@](CC5)(C)[C@]([H])3CC4)=CC[C@@]3([H])[C@@]2([H])[C@@]4(C)[C@]([C@H](C)CCCC(C)C)([H])CC2)CC1=CC=C(N(CCCl)CCCl)C=C1","cymn"
"C1(CCNC(NC(N)=N)=N)=CC=CC=C1.[H]Cl","cnmn"
"O=C1C(C2=CC=CC=C2)(C(=O)NC(=O)N1)CC","cymy"
"C1(C2=CC=CC=C2)(C(NC(=NC1=O)[O-])=O)CC.[Na+]","cymn"
"OC1=CC=CC=C1","cnmn"
"O=C1OC(C2=C1C=CC=C2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O","cymn"
"N1C2=C(C=CC=C2)SC3=CC=CC=C13","cnmn"
"ClCCN(C(COC2=CC=CC=C2)C)CC1=CC=CC=C1.Cl","cymy"
"O=C1N(C2=CC=CC=C2)N=C(C1)C","cnmn"
"C1=C2C(=CC=C1NC3=CC=CC=C3)C=CC=C2","cnmn"
"NC1(=CC=C(C=C1)NC2=CC=CC=C2).[H]Cl","cnmn"
"NC(=S)NC1=CC=CC=C1","cnmn"
"OC1=CC=C2C(=C1/N=N/C3=CC=CC=C3)C=CC=C2","cymy"
"O=C1N(C2=CC=CC=C2)N(C3=CC=CC=C3)C(=O)C1CCCC","cymn"
"NC1=CC(=CC=C1)N","cnmy"
"NC1=CC=C(C=C1)N","cnmy"
"C1(=C(C=CC=C1N)N).[H]Cl.[H]Cl","cnmy"
"C1(=C(C=CC=C1)N)N.[H]Cl.[H]Cl","cymy"
"C1(=CC(=CC=C1N)N).[H]Cl.[H]Cl","cnmy"
"C1([C@H](CNC)O)(=CC(=CC=C1)O).[H]Cl","cnmn"
"C1(=CC=CC=C1)CCNN.S(O)(O)(=O)=O","cymy"
"O(C1=CC=CC=C1)CC2CO2","cymy"
"NNC1=CC=CC=C1.[H]Cl","cymy"
"CC(=O)O[Hg]C1=CC=CC=C1","cnmn"
"[Na+].[O-]C1=C(C=CC=C1)C2=CC=CC=C2","cymn"
"N1(=C2C(=CC(=C1)C3=CC=CC=C3)N(C(=N2)N)C).[H]Cl","cymy"
"O=P(OC(=C(C(=O)N(CC)CC)Cl)C)(OC)OC","cnmy"
"NC(=O)C1=C(C=CC=C1)C(=O)N","cnmn"
"O=C1C2=C(C=CC=C2)C(=O)O1","cnmn"
"ClC1=C(Cl)N=C(C(O)=O)C(Cl)=C1N","cnmn"
"C1CNCCN1","cnmn"
"CCCC1=CC2=C(C=C1COCCOCCOCCCC)OCO2","cymn"
"CCCC1=CC2=C(C=C1COCCOCCOCCCC)OCO2","cnmn"
"O(CC1(C)C)C1=O","cymy"
"C1(C(COCCOC(=O)CCCCCCCC=CCCCCCCCC)OCCO)OC(OCCO)CC1OCCO","cnmn"
".[K+].[Cl-]","cnmn"
"O=C1N2C(C3=C(C=CC=C3)CC2)CN(C1)C(=O)C4CCCCC4","cnmn"
"OCC(=O)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)/C=C\[C@]1(C)[C@H]4C(=O)C[C@@]23C","cnmy"
"C2(=O)C(C1=CC=CC=C1)(CC)C(=O)NCN2","cymy"
"CNNCC1(=CC=C(C=C1)C(=O)NC(C)C).[H]Cl","cymn"
"N1(C2C(SC3=C1C=CC=C3)=CC=CC=2)CC(N(C)C)C.[H]Cl","cnmn"
"C1=CC=C2C(=C1)C=C(C=C2)C(CNC(C)C)O","cnmn"
"C12=C(C=CC(=C1)C(CNC(C)C)O)C=CC=C2.[H]Cl","cnmn"
"O=S1(=O)CCCO1","cymy"
"O=C1CCO1","cymy"
"O=C(C1=CC(=C(C(=C1)O)O)O)OCCC","cnmn"
"O=NN(C(=O)N)CCC","cymy"
"CC=C","cnmy"
"CC(CO)O","cnmn"
"OC(COC(C)(C)C)C","cymy"
"CC1CO1","cymy"
"O=C1C=C(NC(=S)N1)CCC","cymn"
"NC(=O)C1=NC=CN=C1","cnmn"
"N1=CC=CC=C1","cymn"
"NC1=C(C(=NC(=N1)N)CC)C2=CC=C(C=C2)Cl","cnmn"
"O=C1C2=C(C=C(C=C2O)O)OC(=C1O)C3=CC(=C(C=C3)O)O","cymy"
"CC1=CC(C4=CC(C)=C(/N=N/C5=CC=C(OS(=O)(C6=CC=C(C)C=C6)=O)C=C5)C=C4)=CC=C1/N=N/C2=C(O)C=CC3=CC(S(=O)([O-])=O)=CC(S(=O)([O-])=O)=C23.[Na+].[Na+]","cymy"
"C12(C(=C(/N=N/C3=C(C4=C(C(=C3)S(=O)(=O)[O-])C=CC=C4)O)C=CC=1S(=O)(=O)[O-])C=CC=C2).[Na+].[Na+]","cnmy"
"OC1=CC=C2C(=C1/N=N/C3=C(C=C(C=C3)C)[N+](=O)[O-])C=CC=C2","cymy"
"[O-][N+](=O)C1=CC=CC(=C1)NC(=O)C2=CC3=CC=CC=C3C(=C2O)/N=N/C4=CC(=CC=C4OC)[N+]([O-])=O","cnmy"
"C12(C(=CC(=C(C=1/N=N/C3=C(C=C(C=C3)C)C)O)S(=O)(=O)[O-])C=C(C=C2)S(=O)(=O)[O-]).[Na+].[Na+]","cymy"
"ClC(C(C)=C2)=CC(S(=O)([O-])=O)=C2/N=N/C1=C3C(C=CC=C3)=CC=C1O.ClC(C(C)=C5)=CC(S(=O)([O-])=O)=C5/N=N/C4=C6C(C=CC=C6)=CC=C4O.[Ba+2]","cymy"
"[Na+].C1(=CC=C2C(=C1S([O-])(=O)=O)C=CC=C2)/N=N/C3=C(C=CC4=C3C=CC=C4)O","cnmn"
"CC1=CC(C)=C(/N=N/C2=C(C(S([O-])(=O)=O)=CC3=C2C=CC(S([O-])(=O)=O)=C3)O)C=C1C.[Na+].[Na+]","cymn"
"[O-]C1=C(I)C=C(C(C2=C(C([O-])=O)C=CC=C2)=C3C=C(C(C(I)=C3O4)=O)I)C4=C1I.[Na+].[Na+]","cnmn"
"C1(=C(C=C(N)C=C1)[N+](=O)[O-])NCCO","cnmy"
"O=C(C4=CC(OC)=C(OC)C(OC)=C4)O[C@@H]1C[C@@]3([H])[C@@](C[C@](N5C3)([H])C2=C(CC5)C(C=C6)=C(C=C6OC)N2)([H])[C@H]([C@](OC)=O)[C@H]1OC","cymn"
"OC1=CC(=CC=C1)O","cnmn"
"CC1(C(=C(CCC1)C)C=CC(=CC=CC(=CCOC(=O)CCCCCCCCCCCCCCC)C)C)C","cnmn"
"O=C(OCC)C4=C(C=CC=C4)C(C(C=C(C)C(NCC)=C3)=C3O1)=C(C=C2C)C1=C/C2=N/CC.Cl","cnmn"
"[H][C@]12C3=CCN1CC[C@H]2OC(/C(CC([C@@](CO)(O)C(OC3)=O)=C)=C\C)=O","cymy"
"C1=C(C=CC(=C1)C(C2=CC=C(N)C(=C2)C)=C3C=CC(=N)C=C3)N.[H]Cl","cnmy"
"C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)=C3C=CC(C=C3)=N.[H]Cl","cymy"
"O=C([C@](C(C=C4OC)=C(C=C4OC)OC3)([H])[C@]3([H])O2)C(C=C5)=C2C1=C5O[C@@H]([C@@](C)=C)C1","cnmn"
"OC2=CC1=C(C(O)=C2)C(C(O[C@@H]4O[C@@H]([C@H]([C@H](O)[C@H]4O)O)CO[C@H]3[C@H](O)[C@H](O)[C@H]([C@H](C)O3)O)=C(C5=CC(O)=C(C=C5)O)O1)=O","cnmy"
"C12=C(C(=O)NS1(=O)=O)C=CC=C2","cnmn"
"C=CCC1=CC=C2C(=C1)OCO2","cymn"
"C3=CC=CC(NS(=O)(=O)C2=CC=C(N=NC1=CC=C(O)C(C(O)=O)=C1)C=C2)=N3","cymn"
"O=C([C@H](CO)[C@]2=CC=CC=C2)O[C@@H]1C[C@H](N4C)[C@@H](O3)[C@@H]3[C@@H]4C1.Br.O.O.O","cnmn"
"[Se]=S","cymy"
"ClC1=NC(=NC(=N1)NCC)NCC","cnmn"
".[Na+].[Cl-]","cnmn"
"O.[Na+].O.O.CCN(CC)C([S-])=S","cnmn"
"Cl[O-].[Na+]","cnmn"
"OC(=O)C=CC=CC","cnmn"
"O=C1C2=C(C=C3C(=C2OC4=CC=CC(=C14)O)C5C(O3)OC=C5)OC","cymy"
"[C@@H]1(NC(N(N=O)C)=O)[C@H]([C@H](O)[C@H](O[C@@H]1O)CO)O","cymy"
"C=CC1=CC=CC=C1","cymy"
"C1C(C2=CC=CC=C2)O1","cymy"
"O=C1OC(=O)CC1","cnmn"
"O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O","cnmn"
"S=C(N(CC)CC)SCC(=C)Cl","cymy"
"O=S(=O)(C1=CC=C(C=C1)N)NC2=NC(=CC(=N2)C)C","cymn"
"C2=C(N)C=CC(S(=O)(=O)NC1ON=C(C)C=1C)=C2","cnmn"
"O=S1(=O)CC=CC1","cnmn"
"CC(C)CC(=O)O[C@H]1C[C@]2(COC(C)=O)[C@@]4(C)[C@H](OC(C)=O)[C@@H](O)[C@@H](O[C@@H]2/C=C1/C)[C@]34CO3","cymn"
"ClC(=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC)C3=CC=C(C=C3)OC","cnmn"
"NCCS(O)(=O)=O","cnmn"
"Cl\C=C\CCl","cymy"
"Cl\C=C\CCl","cymy"
"Clc1c([N+]([O-])=O)c(Cl)c(Cl)c(OC)c1Cl","cnmn"
"ClC1=CC(=C(C=C1C2=C(C=C(C(=C2)Cl)N)Cl)Cl)N","cnmy"
"ClC1=CC2=C(C=C1Cl)OC3=C(C=C(C(=C3)Cl)Cl)O2","cymn"
"ClC(CCl)(Cl)Cl","cymn"
"ClC(C(Cl)Cl)Cl","cymn"
"ClC(=C(Cl)Cl)Cl","cymn"
"Cl.CN(C)[C@@H]2C(\O)=C(\C(N)=O)C(=O)[C@@]3(O)C(/O)=C4/C(=O)c1c(cccc1O)[C@@](C)(O)[C@H]4C[C@@H]23","cnmn"
"S=C(N(CC)CC)SSC(=S)N(CC)CC","cnmn"
"OC2=C1[C@@](C=C(C)CC3)([H])[C@]3([H])C(C)(C)OC1=CC(CCCCC)=C2","cnmn"
"C1CCCO1","cymn"
"[Cl-].OC[P+](CO)(CO)CO","cnmn"
"OC[P+](CO)(CO)CO.[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO","cnmn"
"S=C(N(C)C)SSC(=S)N(C)C","cnmy"
"O=[N+](C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[O-]","cymy"
"O=C2C=1/N=C\NC=1N(C)C(=O)N2C","cnmn"
"N1C(=NC2=C1C=CC=C2)C3=CSC=N3","cnmy"
"S=P(N1CC1)(N1CC1)N1CC1","cymy"
"CC(=S)N","cymn"
"CC(C1=CC(=C(C=C1O)C)SC2=CC(=C(C=C2C)O)C(C)(C)C)(C)C","cnmn"
"OC1=C(C=C(C=C1SC2=C(C(=CC(=C2)Cl)Cl)O)Cl)Cl","cnmn"
"C1(=CC=C(C=C1)SC2=CC=C(C=C2)N)N","cymy"
"[Sn+2].[Cl-].[Cl-]","cnmn"
"O=[Ti]=O","cnmn"
"[Ti+2](C1=CC=CC1)C2(=CC=CC2).[Cl-].[Cl-]","cnmy"
"C1(=C(C)C2OC(CCC=2C(=C1OC(=O)C)C)(CCCC(CCCC(CCCC(C)C)C)C)C)C","cnmn"
"O=S(=O)(C1=CC=C(C=C1)C)NC(=O)NN2CCCCCC2","cnmn"
"O=S(=O)(C1=CC=C(C=C1)C)NC(=O)NCCCC","cnmn"
"CC1=CC=CC=C1","cymn"
"O=C=NC1=CC(N=C=O)=CC=C1C","cymy"
"NC1=CC=CC(C)=C1.[H]Cl","cymy"
"C1(=CC=C(N)C=C1)C.[H]Cl","cymy"
"ClC2(Cl)C1(Cl)C(=C)C(CCl)(CCl)C2(Cl)C(Cl)C1Cl","cymy"
"NC1=C2C(=NC(=N1)N)N=C(C(=N2)C3=CC=CC=C3)N","cymn"
"BrC(Br)Br","cymy"
"CCCCOP(=O)(OCCCC)OCCCC","cymn"
"ClC(C(=O)O)(Cl)Cl","cymn"
"NC1=C(C=C(C=C1Cl)Cl)Cl","cymn"
"ClC(CCl)Cl","cymn"
"CC(Cl)(Cl)Cl","cnmy"
"ClC(=CCl)Cl","cymn"
"ClC(=CCl)Cl","cymn"
"FC(Cl)(Cl)Cl","cnmn"
"O=C1N(C(=O)C2=C1C=CC=C2)SC(Cl)(Cl)Cl","cymy"
"OC1=C(C=C(C=C1Cl)Cl)Cl","cymn"
"ClC1=C(C=C(C(=C1)Cl)Cl)OCC(=O)O","cnmn"
"ClCC(Cl)CCl","cymy"
"O=P(OC2=CC=C(C)C=C2)(OC3=CC=C(C)C=C3)OC1=CC=C(C)C=C1","cnmn"
"OCCN(CCO)CCO","cymn"
"[O-][N+](C1=CC=C(C2=CSC(NC(C(F)(F)F)=O)=N2)O1)=O","cymy"
"O=[N+](C1=C(C(=CC(=C1)C(F)(F)F)[N+](=O)[O-])N(CCC)CCC)[O-]","cymy"
"CC1=CC(=C(C=C1C)N)C","cymy"
"C1=C(C(=CC(=C1N)C)C)C.[H]Cl","cymy"
"O[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3","cnmn"
"CC3=CC=C(C=C3)\C(C2=CC=CC=N2)=C/CN1CCCC1.O.Cl","cnmn"
"O=P(OCCCl)(OCCCl)OCCCl","cymn"
"O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br","cymy"
"O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl","cymy"
"N1C2=C(C3=C1C=CC=C3)C(=NC(=C2C)N)C.CC(=O)O","cymy"
"N1C2=C(C3=C1C=CC=C3)C(=NC(=C2)N)C.CC(=O)O","cymy"
"O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2","cnmn"
"O=C(CC(/C=C/C2=CC=C(O)C(OC)=C2)=O)/C=C/C1=CC=C(O)C(OC)=C1","cnmn"
"O=C1NC(=O)NC=C1","cymn"
"C(N)(N)=O","cnmn"
"NC(=O)OCC","cymy"
"CC(=O)OC=C","cymn"
"C=CBr","cymy"
"C=CCl","cymy"
"C=CF","cymy"
"CC1=CC=CC(C=C)=C1","cnmn"
"C=C(Cl)Cl","cymy"
"C=C(F)F","cnmy"
"O=C1N(C=C)CCC1","cymn"
"C(/C1=CC=C(C=C1)N(CC2=CC(=CC=C2)S(=O)(=O)[O-])CC)(=C3\C=C/C(C=C3)=[N+](/CC4=CC(=CC=C4)S(=O)(=O)[O-])CC)C5=CC=C(C=C5)N(C)C.[Na+]","cymy"
"CC1=CC=CC(C)=C1","cymn"
"CC1=CC=CC(C)=C1","cnmn"
"C1(C(=CC=C(C=1)C)C)N.[H]Cl","cymy"
"OC1=C(C=C(C=C1)C)/N=N/C2=CC=C(C=C2)NC(=O)C","cymy"
"C1=CC=C(NC(=O)C(/N=N/C2=C(Cl)C=C(C3=CC(Cl)=C(/N=N/C(C(=O)NC4=CC=CC=C4)C(=O)C)C=C3)C=C2)C(=O)C)C=C1","cnmn"
"O=C([O-])C(NN1C2=CC=C(S(=O)([O-])=O)C=C2)=C(/N=N/C3=CC=C(S(=O)([O-])=O)C=C3)C1=O.[Na+].[Na+].[Na+]","cnmn"
"O=S(C1=CC=C2C(C=CC(O)=C2\N=N/C3=CC=C(S(=O)([O-])=O)C=C3)=C1)([O-])=O.[Na+].[Na+]","cnmn"
"OCCNC1=C(OCCO)C=C([N+]([O-])=O)C=C1","cnmy"
"OC1=CC(=CC2=C1C(=O)O[C@H](CCCC(=O)CCC/C=C\2)C)O","cymn"
"S=C([S-])N(C)C.[S-]C(N(C)C)=S.[Zn+2]","cymy"
"C1(CN(N=O)CC(O1)C)C","cymy"
"CCOC(=O)N(C)N=O","cymy"
"O=C(NC3=CC2=C(C=C3)C1=CC=C(NC(C)=O)C=C1C2)C","cnmy"
"OCC(=O)[C@@]4(O)C[C@H](O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)c5c(O)c3C(=O)c2c(OC)cccc2C(=O)c3c(O)c5C4","cnmy"
